binning_data,update_time,create_time,count,speed,distance,calorie
8baf4b93-1687-42bf-af03-5f13b5452819.binning_data.json,15:01.8,6/26/2022,126,1.1773926,92.60999,4.6199994
74443abd-2176-4a47-9e00-f56c7f17ff3a.binning_data.json,15:00.8,6/25/2022,8192,1.2559861,6127.67,312.90997
2e911d90-0aad-49bc-8f48-a2846e637d0b.binning_data.json,48:16.3,7/2/2022,917,1.2633321,688.59,33.78
48baf9cd-9375-45e6-baa7-59ce906bdcbc.binning_data.json,00:09.1,6/29/2022,602,1.4875824,474.87,22.07
d7a8544b-6d05-4bdb-bb53-3fe399f91fb4.binning_data.json,15:01.1,6/27/2022,3323,1.2293222,2466.95,128.43
84ce0e05-2e5e-4093-9c4e-195209083b46.binning_data.json,33:40.2,6/19/2022,422,1.2050736,313.4,15.47
5463f575-8d4b-4034-922e-8a746a4f311e.binning_data.json,20:21.7,7/4/2022,4202,1.2026039,3116.03,163.01999
31f3e348-cef1-4b69-b27d-1129415c78ba.binning_data.json,15:02.6,6/28/2022,1395,1.5390013,1110.82,53.05
4a91f4ba-5c18-414a-8830-604d6e4b10ba.binning_data.json,35:30.5,6/22/2022,10721,1.3251194,8070.37,415.28998
c3a517dc-0603-47f4-9652-2adaa22e17ed.binning_data.json,39:02.5,7/2/2022,917,1.2633321,688.59,33.78
a9733d89-a523-48be-af3d-a58a822d84c1.binning_data.json,51:34.8,6/30/2022,2314,1.4327039,1793.66,84.909996
dff85084-4fe8-4292-bed0-025d3a60977f.binning_data.json,42:26.0,6/18/2022,11352,1.3413631,8616.22,424.03
7e4fb0d8-552b-4b90-bc48-4a3e0f0b747f.binning_data.json,31:25.4,6/25/2022,8192,1.2559861,6127.67,312.90997
4bc4fe33-8d0b-4e7a-bdb6-4322bbb994a0.binning_data.json,15:03.1,7/1/2022,5051,1.2350749,3763.32,196.44
d1f85b84-3403-4801-8955-b85011f6f765.binning_data.json,14:06.6,7/6/2022,1043,1.3095006,787.7,38.05
92a9c0b5-c692-4163-9bec-480dcde4e0fb.binning_data.json,22:35.2,7/4/2022,32,1.1217512,23.490002,1.1500001
6e4f974b-94dd-4268-805d-eeac7777970a.binning_data.json,13:30.5,7/3/2022,4202,1.2026039,3116.03,163.01999
73d0b15b-c693-4bd6-9ee7-4b27909b28b3.binning_data.json,49:52.8,7/12/2022,3809,1.5111691,2983.31,135.12
5319a41c-7995-43f4-adc5-0b260e6e5303.binning_data.json,01:14.7,6/28/2022,1395,1.5390013,1110.82,53.05
cae72103-28de-467a-95d3-2c55ee6d2372.binning_data.json,15:11.9,7/7/2022,3957,1.456462,3110.86,156.18
08d04f3a-6560-4e1a-8654-052692a3655a.binning_data.json,50:20.4,6/21/2022,1271,1.5252037,1024.48,51.2
